X,Y,Theta
-0.18,-0.64,
-0.19,-0.63,
-0.19,-0.63,
-0.19,-0.62,
-0.19,-0.62,
-0.19,-0.61,
-0.2,-0.61,
-0.2,-0.6,
-0.2,-0.6,
-0.2,-0.59,
-0.21,-0.59,
-0.21,-0.58,
-0.21,-0.58,
-0.21,-0.57,
-0.21,-0.57,
-0.22,-0.56,
-0.22,-0.56,
-0.22,-0.55,
-0.22,-0.55,
-0.22,-0.54,
-0.23,-0.54,
-0.23,-0.54,
-0.23,-0.53,
-0.23,-0.53,
-0.24,-0.52,
-0.24,-0.52,
-0.24,-0.51,
-0.24,-0.51,
-0.24,-0.5,
-0.25,-0.5,
-0.25,-0.49,
-0.25,-0.49,
-0.25,-0.48,
-0.25,-0.48,
-0.26,-0.47,
-0.26,-0.47,
-0.26,-0.46,
-0.26,-0.46,
-0.27,-0.45,
-0.27,-0.45,
-0.27,-0.44,
-0.27,-0.44,
-0.27,-0.43,
-0.28,-0.43,
-0.28,-0.42,
-0.28,-0.42,
-0.28,-0.41,
-0.28,-0.41,
-0.29,-0.4,
-0.29,-0.4,
-0.29,-0.39,
-0.29,-0.39,
-0.29,-0.38,
-0.3,-0.38,
-0.3,-0.37,
-0.3,-0.37,
-0.3,-0.36,
-0.31,-0.36,
-0.31,-0.35,
-0.31,-0.35,
-0.31,-0.35,
-0.31,-0.34,
-0.32,-0.34,
-0.32,-0.33,
-0.32,-0.33,
-0.32,-0.32,
-0.32,-0.32,
-0.33,-0.31,
-0.33,-0.31,
-0.33,-0.3,
-0.33,-0.3,
-0.33,-0.29,
-0.34,-0.29,
-0.34,-0.28,
-0.34,-0.28,
-0.34,-0.27,
-0.34,-0.27,
-0.35,-0.26,
-0.35,-0.26,
-0.35,-0.25,
-0.35,-0.25,
-0.35,-0.24,
-0.36,-0.24,
-0.36,-0.23,
-0.36,-0.23,
-0.36,-0.22,
-0.37,-0.22,
-0.37,-0.21,
-0.37,-0.21,
-0.37,-0.2,
-0.37,-0.2,
-0.38,-0.19,
-0.38,-0.19,
-0.38,-0.18,
-0.38,-0.18,
-0.38,-0.17,
-0.39,-0.17,
-0.39,-0.16,
-0.39,-0.16,
-0.39,-0.15,
-0.39,-0.15,
-0.4,-0.14,
-0.4,-0.14,
-0.4,-0.13,
-0.4,-0.13,
-0.4,-0.12,
-0.41,-0.12,
-0.41,-0.12,
-0.41,-0.11,
-0.41,-0.11,
-0.41,-0.1,
-0.42,-0.1,
-0.42,-0.09,
-0.42,-0.09,
-0.42,-0.08,
-0.43,-0.08,
-0.43,-0.07,
-0.43,-0.07,
-0.43,-0.06,
-0.43,-0.06,
-0.44,-0.05,
-0.44,-0.05,
-0.44,-0.04,
-0.44,-0.04,
-0.44,-0.03,
-0.45,-0.03,
-0.45,-0.02,
-0.45,-0.02,
-0.45,-0.01,
-0.45,-0.01,
-0.46,-0.0,
-0.46,0.0,
-0.46,0.01,
-0.46,0.01,
-0.46,0.02,
-0.47,0.02,
-0.47,0.03,
-0.47,0.03,
-0.47,0.04,
-0.47,0.04,
-0.48,0.05,
-0.48,0.05,
-0.48,0.06,
-0.48,0.06,
-0.48,0.07,
-0.49,0.07,
-0.49,0.08,
-0.49,0.08,
-0.49,0.09,
-0.49,0.09,
-0.5,0.1,
-0.5,0.1,
-0.5,0.11,
-0.5,0.11,
-0.5,0.12,
-0.51,0.12,
-0.51,0.13,
-0.51,0.13,
-0.51,0.14,
-0.52,0.14,
-0.52,0.15,
-0.52,0.15,
-0.52,0.16,
-0.52,0.16,
-0.53,0.16,
-0.53,0.17,
-0.53,0.17,
-0.53,0.18,
-0.53,0.18,
-0.54,0.19,
-0.54,0.19,
-0.54,0.2,
-0.54,0.2,
-0.54,0.21,
-0.55,0.21,
-0.55,0.22,
-0.55,0.22,
-0.55,0.23,
-0.55,0.23,
-0.56,0.24,
-0.56,0.24,
-0.56,0.25,
-0.56,0.25,
-0.56,0.25,
-0.56,0.25,
-0.56,0.26,
-0.56,0.26,
-0.56,0.26,
-0.56,0.26,
-0.56,0.26,
-0.56,0.26,
-0.56,0.26,
-0.56,0.26,
-0.56,0.26,
-0.56,0.26,
-0.56,0.26,
-0.56,0.26,
-0.56,0.26,
-0.56,0.26,
-0.56,0.26,
-0.56,0.26,
-0.56,0.26,
-0.56,0.26,
-0.56,0.26,
-0.56,0.26,
-0.56,0.26,
-0.56,0.26,
-0.56,0.26,
-0.56,0.26,
-0.56,0.26,
-0.56,0.26,
-0.56,0.26,
-0.56,0.26,
-0.56,0.26,
-0.56,0.26,
-0.56,0.26,
-0.56,0.26,
-0.56,0.26,
-0.56,0.26,
-0.56,0.26,
-0.56,0.26,
-0.56,0.26,
-0.56,0.26,
-0.56,0.26,
-0.56,0.26,
-0.56,0.26,
-0.56,0.26,
-0.56,0.26,
-0.56,0.26,
-0.56,0.26,
-0.56,0.26,
-0.56,0.26,
-0.56,0.26,
-0.57,0.26,
-0.57,0.27,
-0.57,0.27,
-0.57,0.27,
-0.57,0.27,
-0.57,0.27,
-0.57,0.28,
-0.57,0.28,
-0.57,0.28,
-0.57,0.28,
-0.57,0.29,
-0.57,0.29,
-0.57,0.29,
-0.57,0.3,
-0.57,0.3,
-0.57,0.3,
-0.57,0.3,
-0.57,0.31,
-0.57,0.31,
-0.57,0.31,
-0.57,0.31,
-0.57,0.32,
-0.57,0.32,
-0.57,0.32,
-0.57,0.32,
-0.57,0.33,
-0.57,0.33,
-0.56,0.33,
-0.56,0.33,
-0.56,0.34,
-0.56,0.34,
-0.56,0.34,
-0.56,0.34,
-0.56,0.35,
-0.56,0.35,
-0.55,0.35,
-0.55,0.35,
-0.55,0.35,
-0.55,0.36,
-0.55,0.36,
-0.55,0.36,
-0.54,0.36,
-0.54,0.36,
-0.54,0.37,
-0.54,0.37,
-0.54,0.37,
-0.53,0.37,
-0.53,0.37,
